Document_name 	 Actual Class 	 Predicted Class
50479	comp.sys.mac.hardware	comp.sys.mac.hardware
50478	comp.sys.mac.hardware	comp.sys.mac.hardware
61039	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
61034	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
61037	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
61031	comp.sys.ibm.pc.hardware	comp.sys.mac.hardware
61032	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
52831	sci.electronics	sci.electronics
52830	sci.electronics	sci.electronics
60920	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
60922	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
60923	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
60925	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
38509	comp.graphics	comp.graphics
61259	sci.space	sci.space
61258	sci.space	sci.space
61251	sci.space	sci.space
61253	sci.space	sci.space
61255	sci.space	sci.space
61254	sci.space	sci.space
61257	sci.space	sci.space
16002	sci.crypt	sci.crypt
16003	sci.crypt	sci.crypt
16006	sci.crypt	sci.crypt
16004	sci.crypt	sci.crypt
16009	sci.crypt	sci.crypt
52347	comp.sys.mac.hardware	comp.sys.mac.hardware
52346	comp.sys.mac.hardware	comp.sys.mac.hardware
52341	comp.sys.mac.hardware	comp.sys.mac.hardware
52340	comp.sys.mac.hardware	comp.sys.ibm.pc.hardware
60257	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
60254	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
60255	comp.sys.ibm.pc.hardware	comp.graphics
60252	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
60253	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
60250	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
60251	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
15436	sci.crypt	sci.crypt
38879	comp.graphics	comp.graphics
59266	sci.med	sci.med
15342	sci.crypt	sci.crypt
59264	sci.med	comp.graphics
51128	alt.atheism	alt.atheism
51125	alt.atheism	alt.atheism
51127	alt.atheism	alt.atheism
51122	alt.atheism	alt.atheism
51123	alt.atheism	alt.atheism
60785	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
60786	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
60781	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
60782	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
20865	soc.religion.christian	soc.religion.christian
20715	soc.religion.christian	soc.religion.christian
20714	soc.religion.christian	soc.religion.christian
20861	soc.religion.christian	soc.religion.christian
20712	soc.religion.christian	soc.religion.christian
52167	comp.sys.mac.hardware	comp.sys.mac.hardware
20862	soc.religion.christian	soc.religion.christian
102968	rec.autos	rec.autos
102969	rec.autos	rec.autos
53509	alt.atheism	alt.atheism
102965	rec.autos	rec.autos
102960	rec.autos	rec.autos
102961	rec.autos	rec.autos
59617	sci.med	sci.med
83721	talk.religion.misc	talk.politics.guns
51927	comp.sys.mac.hardware	comp.sys.mac.hardware
51922	comp.sys.mac.hardware	comp.sys.mac.hardware
104349	rec.motorcycles	rec.autos
83848	talk.religion.misc	talk.religion.misc
83840	talk.religion.misc	alt.atheism
83843	talk.religion.misc	talk.religion.misc
83844	talk.religion.misc	talk.religion.misc
53512	alt.atheism	alt.atheism
104343	rec.motorcycles	rec.motorcycles
38640	comp.graphics	comp.graphics
38362	comp.graphics	comp.graphics
53514	alt.atheism	alt.atheism
102757	rec.autos	rec.autos
53569	rec.sport.hockey	rec.sport.hockey
53563	rec.sport.hockey	rec.sport.hockey
9776	comp.os.ms-windows.misc	comp.os.ms-windows.misc
53566	rec.sport.hockey	rec.sport.hockey
53567	rec.sport.hockey	rec.sport.hockey
53564	rec.sport.hockey	rec.sport.hockey
9772	comp.os.ms-windows.misc	comp.windows.x
176981	talk.politics.misc	talk.politics.misc
54690	talk.politics.guns	talk.politics.guns
176983	talk.politics.misc	talk.politics.mideast
176982	talk.politics.misc	talk.politics.misc
14985	sci.crypt	sci.crypt
14984	sci.crypt	sci.crypt
14986	sci.crypt	sci.crypt
176989	talk.politics.misc	talk.politics.misc
176988	talk.politics.misc	talk.politics.misc
53169	alt.atheism	talk.religion.misc
21400	soc.religion.christian	soc.religion.christian
21402	soc.religion.christian	soc.religion.christian
21403	soc.religion.christian	soc.religion.christian
67572	comp.windows.x	sci.crypt
67573	comp.windows.x	comp.windows.x
38271	comp.graphics	comp.graphics
53160	alt.atheism	alt.atheism
38272	comp.graphics	comp.graphics
10905	comp.os.ms-windows.misc	comp.os.ms-windows.misc
15857	sci.crypt	sci.crypt
15850	sci.crypt	sci.crypt
15851	sci.crypt	sci.crypt
15852	sci.crypt	sci.crypt
68323	comp.windows.x	comp.windows.x
15858	sci.crypt	sci.crypt
21511	soc.religion.christian	soc.religion.christian
178803	talk.politics.misc	talk.religion.misc
67318	comp.windows.x	comp.windows.x
178801	talk.politics.misc	talk.politics.misc
178805	talk.politics.misc	talk.politics.misc
67312	comp.windows.x	comp.windows.x
178808	talk.politics.misc	talk.religion.misc
67311	comp.windows.x	comp.windows.x
67315	comp.windows.x	comp.windows.x
54035	rec.sport.hockey	rec.sport.hockey
54037	rec.sport.hockey	rec.sport.baseball
54036	rec.sport.hockey	rec.sport.baseball
54031	rec.sport.hockey	rec.sport.hockey
54030	rec.sport.hockey	rec.sport.hockey
54032	rec.sport.hockey	rec.sport.hockey
54039	rec.sport.hockey	rec.sport.hockey
54038	rec.sport.hockey	rec.sport.hockey
62126	sci.space	sci.space
76800	misc.forsale	misc.forsale
15586	sci.crypt	sci.crypt
15585	sci.crypt	sci.crypt
15588	sci.crypt	comp.graphics
15589	sci.crypt	sci.crypt
178732	talk.politics.misc	talk.politics.misc
178735	talk.politics.misc	talk.politics.misc
178736	talk.politics.misc	talk.politics.misc
178738	talk.politics.misc	talk.religion.misc
178739	talk.politics.misc	talk.politics.guns
66958	comp.windows.x	comp.graphics
83474	talk.religion.misc	talk.religion.misc
66950	comp.windows.x	comp.windows.x
66957	comp.windows.x	comp.windows.x
66956	comp.windows.x	comp.windows.x
66955	comp.windows.x	comp.windows.x
103760	rec.autos	rec.autos
103763	rec.autos	rec.autos
83476	talk.religion.misc	talk.religion.misc
103765	rec.autos	rec.autos
103767	rec.autos	rec.autos
38385	comp.graphics	comp.graphics
55121	talk.politics.guns	talk.politics.guns
60862	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
55124	talk.politics.guns	talk.politics.guns
55126	talk.politics.guns	talk.politics.guns
83473	talk.religion.misc	talk.religion.misc
101725	rec.motorcycles	rec.motorcycles
15326	sci.crypt	sci.crypt
15327	sci.crypt	sci.crypt
15325	sci.crypt	sci.crypt
59201	sci.med	sci.med
15323	sci.crypt	sci.crypt
15320	sci.crypt	sci.crypt
15321	sci.crypt	sci.crypt
103587	rec.sport.baseball	rec.sport.baseball
59209	sci.med	sci.med
59208	sci.med	sci.med
15328	sci.crypt	sci.crypt
53083	alt.atheism	alt.atheism
9940	comp.os.ms-windows.misc	comp.sys.ibm.pc.hardware
9941	comp.os.ms-windows.misc	misc.forsale
9946	comp.os.ms-windows.misc	comp.graphics
9947	comp.os.ms-windows.misc	comp.sys.ibm.pc.hardware
9945	comp.os.ms-windows.misc	comp.windows.x
39035	comp.graphics	comp.graphics
9949	comp.os.ms-windows.misc	comp.windows.x
39030	comp.graphics	comp.graphics
39032	comp.graphics	comp.graphics
51807	comp.sys.mac.hardware	comp.sys.mac.hardware
51806	comp.sys.mac.hardware	comp.sys.mac.hardware
51805	comp.sys.mac.hardware	comp.sys.mac.hardware
51804	comp.sys.mac.hardware	comp.sys.ibm.pc.hardware
51801	comp.sys.mac.hardware	comp.sys.mac.hardware
51809	comp.sys.mac.hardware	comp.sys.ibm.pc.hardware
51808	comp.sys.mac.hardware	comp.sys.mac.hardware
20608	soc.religion.christian	soc.religion.christian
104759	rec.motorcycles	sci.crypt
21653	soc.religion.christian	soc.religion.christian
21652	soc.religion.christian	soc.religion.christian
21655	soc.religion.christian	soc.religion.christian
21654	soc.religion.christian	soc.religion.christian
21657	soc.religion.christian	soc.religion.christian
104751	rec.motorcycles	rec.motorcycles
104750	rec.motorcycles	rec.motorcycles
104754	rec.motorcycles	rec.motorcycles
104757	rec.motorcycles	rec.motorcycles
105564	rec.motorcycles	rec.motorcycles
75895	misc.forsale	misc.forsale
75890	misc.forsale	misc.forsale
61042	comp.sys.ibm.pc.hardware	comp.sys.mac.hardware
75898	misc.forsale	misc.forsale
75899	misc.forsale	misc.forsale
61043	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
60699	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
54325	sci.electronics	sci.electronics
84380	talk.religion.misc	talk.religion.misc
38816	comp.graphics	comp.graphics
38811	comp.graphics	comp.graphics
68139	comp.windows.x	comp.windows.x
68138	comp.windows.x	comp.windows.x
68137	comp.windows.x	comp.windows.x
68136	comp.windows.x	comp.windows.x
68134	comp.windows.x	comp.sys.ibm.pc.hardware
38549	comp.graphics	comp.graphics
61553	sci.space	sci.space
60441	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
60695	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
60446	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
60445	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
60444	comp.sys.ibm.pc.hardware	comp.sys.ibm.pc.hardware
53953	rec.sport.hockey	rec.sport.hockey
9563	comp.os.ms-windows.misc	comp.sys.ibm.pc.hardware
53957	rec.sport.hockey	rec.sport.hockey
9566	comp.os.ms-windows.misc	sci.med
53954	rec.sport.hockey	rec.sport.hockey
53777	rec.sport.hockey	rec.sport.hockey
53776	rec.sport.hockey	rec.sport.hockey
53959	rec.sport.hockey	rec.sport.hockey
